did,mid,medicine
1247,1247,"T-Intrauterine insemination ,Intracytoplasmic sperm injection"
1249,1249,"M- methotrexate,Topical treatment with eye drops"
1251,1251,"T-liquid or low-residue diet, surgery"
1253,1253,"T-Resting, stabilizing, icing,  M-ibuprofen"
1255,1255,M-Carbamazepine
1257,1257,"M-Antiepileptic drugs,Valproic acid"
1259,1259,"M- collagenase clostridium histolyticum, colchicine"
1261,1261,"M-Fluoroquinolones,Macrolides"
1263,1263,"T-Resection, whipple procedure"
1265,1265,"T-Resection,Bypass,Chemotherapy,Radiation therapy"
1267,1267,"M-gemcitabine,fluorouracil, cisplatin "
1269,1269,"M-Hydroxyurea,Anagrelide,Interferon alfa"
1271,1271,"M- levothyroxine,thyroxine"
1273,1273,"M-Ibuprofen,acetaminophen, lidocaine"
1275,1275,"T-chemotherapy,Surgery"
1277,1277,"T-neoadjuvant chemotherapy,Surgery"
1279,1279,"T-Cytoreductive/debulking surgery, chemotherapy"
1281,1281,"M-Methylcellulose eye drops, T-gastrotomy,Surgery"
1283,1283,"T-Glasses and Contact Lenses, Refractive surgery"
1285,1285,"M-oral antihistamine,Epinephrine"
1287,1287,"T- RICE(Rest, Ice,Compress,elevate), M-acetaminophen"
1289,1289,"T-debridement,angioplasty"
1291,1291,Consult Doctor
1293,1293,"M-beta blockers and ACE inhibitors, coenzyme Q10, insulin"
1295,1295,"T-Surgery(Partial hepatectomy,whipple procedure),chemotherapy"
1297,1297,"M-captopril,losartan,Calcium supplements"
1299,1299,"M-carbimazole, methimazole and propylthiouracil"
1301,1301,"T-Airway,Craniotomy and surgical drainage,Pharmacotherapy"
1303,1303,"M-Thrombolytics,Anticoagulants"
1305,1305,M- acetaminophen(not more than 4 g/day.)
1307,1307,"M-Anti-androgen blockers,Vaniqa "
1309,1309,"M-Tetrabenazine,reserpine"
1311,1311,"M-tretinoin, Alpha hydroxy acids "
1315,1315,"M-aspirin,intravenous clot-busting drugs"
1317,1317,"M-zoledronic acid, indomethacin"
1319,1319,"T- Pneumonectomy,Radiation therapy"
1321,1321,"T-Pleurodesis, Thoracotomy"
1323,1323,"M-Hydroquinone,Tretinoin"
1325,1325,"M- ibuprofen , Ice massage"
1327,1327,T-electrocautery ablation
1329,1329,T-Haematopoietic stem cell transplantation and Radiation therapy
1331,1331,M-Bisphosphonates and Calcitonin
1333,1333,"T-metastasectomy,Radiation therapy,chemotherapy"
1335,1335,"M-tetrahydrobiopterin,sapropterin"
1337,1337,M-0.1 -0.05% betamethasone dipropionate
1339,1339,"M-Methylprednisolone,Cyclophosphamide"
1345,1345,"M-aspirin, paracetamol,anti-inflammatory drugs, opiates. "
1347,1347,"T- PRICE(Protecting,Resting,Icing,Compressing,Elevating)"
1349,1349,"T-Eyeglasses with progressive lenses,Surgery( implantation of a corneal inlay)"
1351,1351,T-surgical therapy(posterior colporrhaphy)
1353,1353,"M-Vitamin A/beta-carotene,Docosahexaenoic acid (DHA)"
1355,1355,"T-surgery, Radiation Therapy, Chemotherapy"
1357,1357,"M-3-day course of high-dose IV methylprednisolone,prednisone"
1359,1359,"T-rest, ice, compression, and elevation (RICE), M- ibuprofen "
1361,1361,"T-Surgery(Pneumonectomy), Chemotherapy"
1363,1363,M-prednisone(1 milligram per kilogram of body weight per day)
1365,1365,Consult Doctor
1367,1367,M-oral or intravenous (IV) antibiotics
1369,1369,"M-anticoagulant,heparin or fondaparinux ,alteplase "
1371,1371,"M-Antifungals-Systemic,Topical"
1373,1373,"T-Procedural sedation and analgesia,Reduction,Traction"
1375,1375,"M-Pepto-Bismol (2 ounces four times daily or two tablets four times daily) ,ORS"
1379,1379,M-antibiotics and folic acid
1381,1381,T-nephrectomy followed by chemotherapy
1383,1383,"M- Advil, Aleve, or Motrin (NSAIDs)"
1385,1385,"M-Penicillin G benzathine,Azithromycin"
1387,1387,"M-Prednisone,Melphalan,Colchicine"
1389,1389,"T-Posterior fossa decompression surgery,Spinal laminectomy"
1393,1393,T-surgery
1395,1395,"M-tricyclic antidepressants, haloperidol"
1397,1397,"T-Patching or covering the better-seeing eye ,Surgery"
1399,1399,Consult Doctor 
1403,1403,"M-Risperdal, Clozaril, Seroquel, Geodon, and Zyprexa."
1405,1405,M-Intralesional steroid injections
1409,1409,"M-daily aspirin,clopidogrel"
1411,1411,"M-Fluoxetine,Propranolol,Alprazolam "
1415,1415,"M-Tums Extra Strength, Cal-Plus, Caltrate, Os-Cal 500 ,Ergocalciferol "
1417,1417,M-N-acetylcysteine 10% emulsion
1421,1421,"M-Corticosteroid injections (intralesional steroids),Silicone gel"
1423,1423,T-surgery(Plaster cast)
1425,1425,M-Metformin
1427,1427,"M-Fresh frozen plasma,Heparin,Warfarin "
1429,1429,"T-Closed reduction, M-hydrocodone and acetaminophen "
1431,1431,"M-Vitamin D3,Vitamin D2,cholecalciferol"
1433,1433,"M-metoprolol,Metoprolol Succinate ER"
1435,1435,"M-amantadine, Pentothal,risperidone"
1437,1437,"M- testosterone,AndroGel,Androderm"
1439,1439,"M-desmopressin [DDAVP],antifibrinolytics"
1441,1441,"M-Metronidazole,Clindamycin"
1443,1443,"M-Smoking cessation aid,Narcotic"
1445,1445,"M-Alprazolam, Citalopram, and Clomipramine"
1449,1449,M- clonidine (Catapres) or guanfacine (Tenex).
1451,1451,"M-Dextroamphetamine,methylphenidate"
1453,1453,"M-intravenous immunoglobulin,Celecoxib,Gabapentin"
1455,1455,"M-ceftazidime, cefepime, Imipenem-cilastatin, meropenem"
1457,1457,"M-Ibuprofen,Ketoprofen,Methylprednisolone "
1461,1461,Consult Doctor
1463,1463,"M-Antithymocyte antibodies,Cyclophosphamide "
1465,1465,"M-topical antifungal imidazole,5-fluorouracil 1% solution "
1467,1467,"M-Gabapentin,Pregabalin,Baclofen"
1469,1469,"M-antiepileptic drugs,Carbamazepine"
1471,1471,"M-amitriptyline, Neurontin, and Tegretol"
1473,1473,"M-Intravitreal triamcinolone,intravitreal aflibercept and ranibizumab "
1475,1475,"M-Methotrexate,Azathioprine,Ciprofloxacin ophthalmic"
1479,1479,"T-massage of the lacrimal duct area, Probing"
1483,1483,"M-Carbonic anhydrase inhibitors,Dorzolamide "
1487,1487,"M-Antibiotic,Cefotaxime "
1489,1489,"M-Nonsteroidal Anti-inflammatory Drugs,Corticosteroids"
1491,1491,T-Removal of leukoplakia patches by freezing
1493,1493,"M- corticosteroids,Antibiotics, antifungal medications"
1495,1495,"M-topical nitrates, calcium channel blockers, onabotulinumtoxinA,ciprofloxacin"
1497,1497,"M-Clematis,Nitric Acid and Prunus Spinosa"
1499,1499,"T-Cryosurgery (freezing),Electrocauterization,Laser surgery"
1501,1501,"M-anti-inflammatory (corticosteroids), immunosuppressants( azathioprine)"
1503,1503,"M-Corticosteroids,Immunomodulators"
1505,1505,"T-Skin grafting,Reconstructive flap surgery"
1507,1507,"M-acetaminophen,Nonsteroidal anti-Inflammatory drug"
1509,1509,"M-Beractant,Calfactant"
1511,1511,"M-Ocu Plus vitamins, Vitamin-A and zinc"
1513,1513,M-Ascorbic acid 
1515,1515,"M-thiamine, Vitamin B1"
1517,1517,"M-topical steroids or bexarotene gel, Tazarotene, low-dose oral etoposide, and imiquimod"
1519,1519,"T-Diuretic,Pacemaker,LVAD,Coronary bypass surgery,Heart valve surgery"
1521,1521,"T-motor rehabilitation,  M-Calcarea Carb,Baryta Carb ,Tuberculinum and Carcinosin"
1523,1523,"T-Fine-needle aspiration, Surgery"
1525,1525,"T-Lumpectomy,  Mastectomy,Hormonal therapy"
1527,1527,"M-misoprostol (a single dose of 600mg),Dilation And Curettage"
1529,1529," T-surgery, chemotherapy, radiation and hormone therapy"
1531,1531," T-surgery, chemotherapy, radiation and hormone therapy"
1533,1533," T-surgery, chemotherapy, radiation and hormone therapy"
1535,1535,"M-botulinum toxin,Levodopa,Procyclidine hydrochloride,Diazepam,Lorazepam,Clonazepam,Baclofen"
1537,1537,"M-Nutritional supplementation,tricyclic antidepressants ,SSRIs"
1539,1539,"T-Providing intravenous fluids (IV) and balancing electrolytes (body salts), Blood Transfusion"
1540,1540,"M-Coagadex, Vitamin Supplements"
1542,1542,"M-Corticosteroids ,Mineralocorticoids, Salt Supplements"
1544,1544,Consult Doctor Immediately
1546,1546,"T-Anticonvulsants,proper nutrition and hydration and keeping the airway open"
1548,1548,"T-Bronchodilator,Breathing exercises,Sustained maximal inspiration and cough assist"
